no_below,no_above,idf,bool,norm,alpha,score
2,0.01,True,False,None,0.001,0.617552533993
2,0.01,True,False,None,0.01,0.618859540854
2,0.01,True,False,None,0.1,0.623497669855
2,0.01,True,False,None,1.0,0.63869407497
2,0.01,True,False,l2,0.001,0.078342178418
2,0.01,True,False,l2,0.01,0.0822194199243
2,0.01,True,False,l2,0.1,0.0754239433055
2,0.01,True,False,l2,1.0,0.019801980198
2,0.01,False,False,None,0.001,0.425675675676
2,0.01,False,False,None,0.01,0.432304038005
2,0.01,False,False,None,0.1,0.451286048324
2,0.01,False,False,None,1.0,0.416884422111
2,0.01,False,False,l2,0.001,0.05873340143
2,0.01,False,False,l2,0.01,0.0572450805009
2,0.01,False,False,l2,0.1,0.0477535301669
2,0.01,False,False,l2,1.0,0.0115213406651
2,0.01,False,True,None,0.001,0.413654618474
2,0.01,False,True,None,0.01,0.426608245369
2,0.01,False,True,None,0.1,0.436872168604
2,0.01,False,True,None,1.0,0.396092000814
2,0.0316227766017,True,False,None,0.001,0.648736147429
2,0.0316227766017,True,False,None,0.01,0.650602409639
2,0.0316227766017,True,False,None,0.1,0.657065484983
2,0.0316227766017,True,False,None,1.0,0.669652584433
2,0.0316227766017,True,False,l2,0.001,0.0870002514458
2,0.0316227766017,True,False,l2,0.01,0.0870002514458
2,0.0316227766017,True,False,l2,0.1,0.078342178418
2,0.0316227766017,True,False,l2,1.0,0.0208170699974
2,0.0316227766017,False,False,None,0.001,0.539826212889
2,0.0316227766017,False,False,None,0.01,0.557541100786
2,0.0316227766017,False,False,None,0.1,0.57102523381
2,0.0316227766017,False,False,None,1.0,0.537978093015
2,0.0316227766017,False,False,l2,0.001,0.0602501914731
2,0.0316227766017,False,False,l2,0.01,0.0627231004589
2,0.0316227766017,False,False,l2,0.1,0.0507952796306
2,0.0316227766017,False,False,l2,1.0,0.00577731092437
2,0.0316227766017,False,True,None,0.001,0.525064032199
2,0.0316227766017,False,True,None,0.01,0.538768115942
2,0.0316227766017,False,True,None,0.1,0.555198285102
2,0.0316227766017,False,True,None,1.0,0.519613209268
2,0.1,True,False,None,0.001,0.666092095543
2,0.1,True,False,None,0.01,0.670018393624
2,0.1,True,False,None,0.1,0.675103431492
2,0.1,True,False,None,1.0,0.685898200024
2,0.1,True,False,l2,0.001,0.0984753811547
2,0.1,True,False,l2,0.01,0.0999000999001
2,0.1,True,False,l2,0.1,0.0932798395186
2,0.1,True,False,l2,1.0,0.0213541666667
2,0.1,False,False,None,0.001,0.612045760431
2,0.1,False,False,None,0.01,0.624729572308
2,0.1,False,False,None,0.1,0.637781060233
2,0.1,False,False,None,1.0,0.609784605109
2,0.1,False,False,l2,0.001,0.0725520040589
2,0.1,False,False,l2,0.01,0.0745058286873
2,0.1,False,False,l2,0.1,0.0547454591967
2,0.1,False,False,l2,1.0,0.00525348043079
2,0.1,False,True,None,0.001,0.597349643221
2,0.1,False,True,None,0.01,0.613190132573
2,0.1,False,True,None,0.1,0.626262626263
2,0.1,False,True,None,1.0,0.595968151787
2,0.316227766017,True,False,None,0.001,0.665764213635
2,0.316227766017,True,False,None,0.01,0.66968991298
2,0.316227766017,True,False,None,0.1,0.675024342746
2,0.316227766017,True,False,None,1.0,0.684009546539
2,0.316227766017,True,False,l2,0.001,0.0937108494112
2,0.316227766017,True,False,l2,0.01,0.0984753811547
2,0.316227766017,True,False,l2,0.1,0.0923231309584
2,0.316227766017,True,False,l2,1.0,0.0213541666667
2,0.316227766017,False,False,None,0.001,0.609147260848
2,0.316227766017,False,False,None,0.01,0.619956832143
2,0.316227766017,False,False,None,0.1,0.63309352518
2,0.316227766017,False,False,None,1.0,0.610203401134
2,0.316227766017,False,False,l2,0.001,0.0637104994903
2,0.316227766017,False,False,l2,0.01,0.0661745991346
2,0.316227766017,False,False,l2,0.1,0.0452442159383
2,0.316227766017,False,False,l2,1.0,0.0042049934297
2,0.316227766017,False,True,None,0.001,0.598339827207
2,0.316227766017,False,True,None,0.01,0.611977856064
2,0.316227766017,False,True,None,0.1,0.624256444151
2,0.316227766017,False,True,None,1.0,0.60030472321
3,0.01,True,False,None,0.001,0.619220527717
3,0.01,True,False,None,0.01,0.619888700702
3,0.01,True,False,None,0.1,0.62381124353
3,0.01,True,False,None,1.0,0.635207417093
3,0.01,True,False,l2,0.001,0.0763976726537
3,0.01,True,False,l2,0.01,0.0754239433055
3,0.01,True,False,l2,0.1,0.0705404719614
3,0.01,True,False,l2,1.0,0.0295489891135
3,0.01,False,False,None,0.001,0.431651829871
3,0.01,False,False,None,0.01,0.438226600985
3,0.01,False,False,None,0.1,0.449980537174
3,0.01,False,False,None,1.0,0.430915200633
3,0.01,False,False,l2,0.001,0.0547454591967
3,0.01,False,False,l2,0.01,0.0532514080901
3,0.01,False,False,l2,0.1,0.0452442159383
3,0.01,False,False,l2,1.0,0.0151594354417
3,0.01,False,True,None,0.001,0.422355289421
3,0.01,False,True,None,0.01,0.430897537728
3,0.01,False,True,None,0.1,0.439677228892
3,0.01,False,True,None,1.0,0.420506682625
