no_below,no_above,idf,bool,norm,alpha,score
2,0.1,True,False,None,0.001,0.666212260936
2,0.1,True,False,None,0.01,0.674976804228
2,0.1,True,False,None,0.1,0.688428507469
2,0.1,True,False,None,1.0,0.706592770287
2,0.1,True,False,None,10.0,0.735270948215
2,0.1,True,False,l2,0.001,0.69578858453
2,0.1,True,False,l2,0.01,0.715349859568
2,0.1,True,False,l2,0.1,0.740984957758
2,0.1,True,False,l2,1.0,0.768262586377
2,0.1,True,False,l2,10.0,0.773473407748
2,0.1,False,False,None,0.001,0.699375557538
2,0.1,False,False,None,0.01,0.713981489065
2,0.1,False,False,None,0.1,0.72999586264
2,0.1,False,False,None,1.0,0.750437463545
2,0.1,False,False,None,10.0,0.787914139057
2,0.1,False,False,l2,0.001,0.727198928441
2,0.1,False,False,l2,0.01,0.744830981293
2,0.1,False,False,l2,0.1,0.763117634898
2,0.1,False,False,l2,1.0,0.777663639726
2,0.1,False,False,l2,10.0,0.777736852875
2,0.1,False,True,None,0.001,0.709783877329
2,0.1,False,True,None,0.01,0.727870449288
2,0.1,False,True,None,0.1,0.750513262708
2,0.1,False,True,None,1.0,0.773129392311
2,0.1,False,True,None,10.0,0.805556630422
2,0.3,True,False,None,0.001,0.671181766567
2,0.3,True,False,None,0.01,0.680748488315
2,0.3,True,False,None,0.1,0.69648905411
2,0.3,True,False,None,1.0,0.716496791242
2,0.3,True,False,None,10.0,0.747427028851
2,0.3,True,False,l2,0.001,0.705997472174
2,0.3,True,False,l2,0.01,0.727287777824
2,0.3,True,False,l2,0.1,0.75061977394
2,0.3,True,False,l2,1.0,0.769876987699
2,0.3,True,False,l2,10.0,0.763689269024
2,0.3,False,False,None,0.001,0.712384259259
2,0.3,False,False,None,0.01,0.726512871949
2,0.3,False,False,None,0.1,0.743212382644
2,0.3,False,False,None,1.0,0.762910298438
2,0.3,False,False,None,10.0,0.801649253433
2,0.3,False,False,l2,0.001,0.739711206358
2,0.3,False,False,l2,0.01,0.756238165369
2,0.3,False,False,l2,0.1,0.770780856423
2,0.3,False,False,l2,1.0,0.775492493274
2,0.3,False,False,l2,10.0,0.747070488552
2,0.3,False,True,None,0.001,0.719737382027
2,0.3,False,True,None,0.01,0.737225974887
2,0.3,False,True,None,0.1,0.759049821316
2,0.3,False,True,None,1.0,0.777919320594
2,0.3,False,True,None,10.0,0.814681251753
2,0.5,True,False,None,0.001,0.674152732007
2,0.5,True,False,None,0.01,0.684683206889
2,0.5,True,False,None,0.1,0.700858244538
2,0.5,True,False,None,1.0,0.721228697665
2,0.5,True,False,None,10.0,0.751503345473
2,0.5,True,False,l2,0.001,0.710007783376
2,0.5,True,False,l2,0.01,0.731764022087
2,0.5,True,False,l2,0.1,0.755886207042
2,0.5,True,False,l2,1.0,0.773505570246
2,0.5,True,False,l2,10.0,0.75755790237
2,0.5,False,False,None,0.001,0.721361971362
2,0.5,False,False,None,0.01,0.73522498321
2,0.5,False,False,None,0.1,0.751709202089
2,0.5,False,False,None,1.0,0.770550147935
2,0.5,False,False,None,10.0,0.810845706908
2,0.5,False,False,l2,0.001,0.748765173713
2,0.5,False,False,l2,0.01,0.766651141127
2,0.5,False,False,l2,0.1,0.778323002755
2,0.5,False,False,l2,1.0,0.777797325827
2,0.5,False,False,l2,10.0,0.742119815668
2,0.5,False,True,None,0.001,0.719644783799
2,0.5,False,True,None,0.01,0.736890717494
2,0.5,False,True,None,0.1,0.758382685016
2,0.5,False,True,None,1.0,0.775935575557
2,0.5,False,True,None,10.0,0.815967413442
2,0.7,True,False,None,0.001,0.674466957479
2,0.7,True,False,None,0.01,0.685239973702
2,0.7,True,False,None,0.1,0.701060070671
2,0.7,True,False,None,1.0,0.721242298928
2,0.7,True,False,None,10.0,0.751222831866
2,0.7,True,False,l2,0.001,0.710218168372
2,0.7,True,False,l2,0.01,0.731884360269
2,0.7,True,False,l2,0.1,0.755077759837
2,0.7,True,False,l2,1.0,0.769433118506
2,0.7,True,False,l2,10.0,0.737373737374
2,0.7,False,False,None,0.001,0.720130658738
2,0.7,False,False,None,0.01,0.735524256651
2,0.7,False,False,None,0.1,0.752829624568
2,0.7,False,False,None,1.0,0.768266320796
2,0.7,False,False,None,10.0,0.810557614761
2,0.7,False,False,l2,0.001,0.750115979925
2,0.7,False,False,l2,0.01,0.765604986765
2,0.7,False,False,l2,0.1,0.776458306146
2,0.7,False,False,l2,1.0,0.768816721988
2,0.7,False,False,l2,10.0,0.70595070934
2,0.7,False,True,None,0.001,0.717972311682
2,0.7,False,True,None,0.01,0.73387336189
2,0.7,False,True,None,0.1,0.754684471247
2,0.7,False,True,None,1.0,0.769297939225
2,0.7,False,True,None,10.0,0.811769581434
4,0.1,True,False,None,0.001,0.714124657755
4,0.1,True,False,None,0.01,0.718761369608
4,0.1,True,False,None,0.1,0.725170954087
4,0.1,True,False,None,1.0,0.733152753837
4,0.1,True,False,None,10.0,0.745237406504
4,0.1,True,False,l2,0.001,0.731783944899
4,0.1,True,False,l2,0.01,0.739516947433
4,0.1,True,False,l2,0.1,0.751229911446
4,0.1,True,False,l2,1.0,0.769622750062
4,0.1,True,False,l2,10.0,0.774275317879
4,0.1,False,False,None,0.001,0.737932715748
4,0.1,False,False,None,0.01,0.744990594586
4,0.1,False,False,None,0.1,0.75081279065
4,0.1,False,False,None,1.0,0.759686710041
