no_below,no_above,idf,bool,norm,alpha,score
2,0.1,True,False,None,0.001,0.652701123958
2,0.1,True,False,None,0.01,0.65898896836
2,0.1,True,False,None,0.1,0.669239519012
2,0.1,True,False,None,1.0,0.684976429596
2,0.1,True,False,None,10.0,0.708003952569
2,0.1,True,False,l2,0.001,0.671638181232
2,0.1,True,False,l2,0.01,0.688126649077
2,0.1,True,False,l2,0.1,0.713590446199
2,0.1,True,False,l2,1.0,0.737082873831
2,0.1,True,False,l2,10.0,0.745447879751
2,0.1,False,False,None,0.001,0.680890763802
2,0.1,False,False,None,0.01,0.692320248103
2,0.1,False,False,None,0.1,0.707304040446
2,0.1,False,False,None,1.0,0.723703244472
2,0.1,False,False,None,10.0,0.753381407133
2,0.1,False,False,l2,0.001,0.699650945694
2,0.1,False,False,l2,0.01,0.716343399624
2,0.1,False,False,l2,0.1,0.732788030745
2,0.1,False,False,l2,1.0,0.748925369468
2,0.1,False,False,l2,10.0,0.74799188641
2,0.1,False,True,None,0.001,0.688316415255
2,0.1,False,True,None,0.01,0.703294913045
2,0.1,False,True,None,0.1,0.724661469019
2,0.1,False,True,None,1.0,0.748514851485
2,0.1,False,True,None,10.0,0.776978976412
2,0.3,True,False,None,0.001,0.66821876404
2,0.3,True,False,None,0.01,0.676720075401
2,0.3,True,False,None,0.1,0.689786301823
2,0.3,True,False,None,1.0,0.709674728941
2,0.3,True,False,None,10.0,0.735686143013
2,0.3,True,False,l2,0.001,0.694174955995
2,0.3,True,False,l2,0.01,0.71544178365
2,0.3,True,False,l2,0.1,0.739818721023
2,0.3,True,False,l2,1.0,0.765000631606
2,0.3,True,False,l2,10.0,0.770673486786
2,0.3,False,False,None,0.001,0.707763692104
2,0.3,False,False,None,0.01,0.722910668836
2,0.3,False,False,None,0.1,0.738583273707
2,0.3,False,False,None,1.0,0.756745308992
2,0.3,False,False,None,10.0,0.792266687883
2,0.3,False,False,l2,0.001,0.734058452341
2,0.3,False,False,l2,0.01,0.750408650824
2,0.3,False,False,l2,0.1,0.766340145246
2,0.3,False,False,l2,1.0,0.778271354233
2,0.3,False,False,l2,10.0,0.773596176822
2,0.3,False,True,None,0.001,0.713094451783
2,0.3,False,True,None,0.01,0.729860186418
2,0.3,False,True,None,0.1,0.751784964301
2,0.3,False,True,None,1.0,0.773997723536
2,0.3,False,True,None,10.0,0.807735069886
2,0.5,True,False,None,0.001,0.67039152048
2,0.5,True,False,None,0.01,0.680835259161
2,0.5,True,False,None,0.1,0.693710953769
2,0.5,True,False,None,1.0,0.712783851976
2,0.5,True,False,None,10.0,0.742111265999
2,0.5,True,False,l2,0.001,0.699201054279
2,0.5,True,False,l2,0.01,0.720903107556
2,0.5,True,False,l2,0.1,0.744072230192
2,0.5,True,False,l2,1.0,0.76594103531
2,0.5,True,False,l2,10.0,0.759401176261
2,0.5,False,False,None,0.001,0.718060382731
2,0.5,False,False,None,0.01,0.731906992446
2,0.5,False,False,None,0.1,0.746369095788
2,0.5,False,False,None,1.0,0.762541232918
2,0.5,False,False,None,10.0,0.799821631263
2,0.5,False,False,l2,0.001,0.742498842739
2,0.5,False,False,l2,0.01,0.758055614519
2,0.5,False,False,l2,0.1,0.770745067831
2,0.5,False,False,l2,1.0,0.779462738302
2,0.5,False,False,l2,10.0,0.758202247191
2,0.5,False,True,None,0.001,0.714620666555
2,0.5,False,True,None,0.01,0.731140054127
2,0.5,False,True,None,0.1,0.752612943134
2,0.5,False,True,None,1.0,0.772029415559
2,0.5,False,True,None,10.0,0.808199121523
2,0.7,True,False,None,0.001,0.669799266312
2,0.7,True,False,None,0.01,0.679592344022
2,0.7,True,False,None,0.1,0.692934441984
2,0.7,True,False,None,1.0,0.713036868111
2,0.7,True,False,None,10.0,0.742101022096
2,0.7,True,False,l2,0.001,0.700008259684
2,0.7,True,False,l2,0.01,0.721922675026
2,0.7,True,False,l2,0.1,0.745034935422
2,0.7,True,False,l2,1.0,0.764353859497
2,0.7,True,False,l2,10.0,0.743751438435
2,0.7,False,False,None,0.001,0.719952784453
2,0.7,False,False,None,0.01,0.732354818124
2,0.7,False,False,None,0.1,0.747708386876
2,0.7,False,False,None,1.0,0.762245601932
2,0.7,False,False,None,10.0,0.799477252307
2,0.7,False,False,l2,0.001,0.745345829269
2,0.7,False,False,l2,0.01,0.75902172054
2,0.7,False,False,l2,0.1,0.772149710433
2,0.7,False,False,l2,1.0,0.772036742625
2,0.7,False,False,l2,10.0,0.729786933822
2,0.7,False,True,None,0.001,0.711640882577
2,0.7,False,True,None,0.01,0.728236702583
2,0.7,False,True,None,0.1,0.748964445979
2,0.7,False,True,None,1.0,0.763558619486
2,0.7,False,True,None,10.0,0.802504976775
4,0.1,True,False,None,0.001,0.694202258026
4,0.1,True,False,None,0.01,0.697060008055
4,0.1,True,False,None,0.1,0.702193088937
4,0.1,True,False,None,1.0,0.708404523635
4,0.1,True,False,None,10.0,0.719279574294
4,0.1,True,False,l2,0.001,0.705409532996
4,0.1,True,False,l2,0.01,0.711939815564
4,0.1,True,False,l2,0.1,0.723527256443
4,0.1,True,False,l2,1.0,0.738022426096
4,0.1,True,False,l2,10.0,0.747612882343
4,0.1,False,False,None,0.001,0.713532798184
4,0.1,False,False,None,0.01,0.717541717542
4,0.1,False,False,None,0.1,0.722909329183
4,0.1,False,False,None,1.0,0.728720551223
4,0.1,False,False,None,10.0,0.750698491259
4,0.1,False,False,l2,0.001,0.722710875117
4,0.1,False,False,l2,0.01,0.728355773154
4,0.1,False,False,l2,0.1,0.736288566616
4,0.1,False,False,l2,1.0,0.750051110112
4,0.1,False,False,l2,10.0,0.748413179705
4,0.1,False,True,None,0.001,0.724021893371
4,0.1,False,True,None,0.01,0.731188925081
4,0.1,False,True,None,0.1,0.739459990986
4,0.1,False,True,None,1.0,0.752206549534
4,0.1,False,True,None,10.0,0.772852192616
4,0.3,True,False,None,0.001,0.713531650231
4,0.3,True,False,None,0.01,0.717453798768
4,0.3,True,False,None,0.1,0.723080737129
4,0.3,True,False,None,1.0,0.731608025589
4,0.3,True,False,None,10.0,0.743847921454
4,0.3,True,False,l2,0.001,0.728821890873
4,0.3,True,False,l2,0.01,0.735513671794
4,0.3,True,False,l2,0.1,0.750103915537
4,0.3,True,False,l2,1.0,0.768032168887
4,0.3,True,False,l2,10.0,0.77530176416
4,0.3,False,False,None,0.001,0.742598513474
4,0.3,False,False,None,0.01,0.747715036935
4,0.3,False,False,None,0.1,0.753878406709
4,0.3,False,False,None,1.0,0.76189269117
4,0.3,False,False,None,10.0,0.787373388114
4,0.3,False,False,l2,0.001,0.754666777533
4,0.3,False,False,l2,0.01,0.762366715451
4,0.3,False,False,l2,0.1,0.77096570587
4,0.3,False,False,l2,1.0,0.778350951374
4,0.3,False,False,l2,10.0,0.776073749947
4,0.3,False,True,None,0.001,0.749740997058
4,0.3,False,True,None,0.01,0.758063171931
4,0.3,False,True,None,0.1,0.767631898755
4,0.3,False,True,None,1.0,0.77739350485
4,0.3,False,True,None,10.0,0.801240461909
4,0.5,True,False,None,0.001,0.717424461025
4,0.5,True,False,None,0.01,0.721417335872
4,0.5,True,False,None,0.1,0.72725
4,0.5,True,False,None,1.0,0.734692165744
4,0.5,True,False,None,10.0,0.748491115519
4,0.5,True,False,l2,0.001,0.732665099204
4,0.5,True,False,l2,0.01,0.7400972609
4,0.5,True,False,l2,0.1,0.75295006929
4,0.5,True,False,l2,1.0,0.769932634092
4,0.5,True,False,l2,10.0,0.76790579137
4,0.5,False,False,None,0.001,0.750021020769
4,0.5,False,False,None,0.01,0.75483326298
4,0.5,False,False,None,0.1,0.759663579985
4,0.5,False,False,None,1.0,0.767332650273
4,0.5,False,False,None,10.0,0.792291753005
