no_below,no_above,idf,bool,norm,C,score
2,0.1,True,False,None,0.001,0.760079201247
2,0.1,True,False,None,0.01,0.755271403167
2,0.1,True,False,None,0.1,0.752260090828
2,0.1,True,False,None,1.0,0.751666454379
2,0.1,True,False,None,10.0,0.751560443293
2,0.1,True,False,l2,0.001,0.76638235906
2,0.1,True,False,l2,0.01,0.765362894792
2,0.1,True,False,l2,0.1,0.774727341106
2,0.1,True,False,l2,1.0,0.77604989605
2,0.1,True,False,l2,10.0,0.764801466606
2,0.1,False,False,None,0.001,0.735138076452
2,0.1,False,False,None,0.01,0.720149936003
2,0.1,False,False,None,0.1,0.697990956976
2,0.1,False,False,None,1.0,0.6743717629
2,0.1,False,False,None,10.0,0.667857487689
2,0.1,False,False,l2,0.001,0.767087976052
2,0.1,False,False,l2,0.01,0.766638795987
2,0.1,False,False,l2,0.1,0.778235025149
2,0.1,False,False,l2,1.0,0.778978755125
2,0.1,False,False,l2,10.0,0.766037107912
2,0.1,False,True,None,0.001,0.761201334816
2,0.1,False,True,None,0.01,0.757017967755
2,0.1,False,True,None,0.1,0.7410397445
2,0.1,False,True,None,1.0,0.725730357467
2,0.1,False,True,None,10.0,0.721776399781
2,0.3,True,False,None,0.001,0.78624266644
2,0.3,True,False,None,0.01,0.781878622571
2,0.3,True,False,None,0.1,0.779577013459
2,0.3,True,False,None,1.0,0.779572649573
2,0.3,True,False,None,10.0,0.779624802359
2,0.3,True,False,l2,0.001,0.777768298925
2,0.3,True,False,l2,0.01,0.782612372616
2,0.3,True,False,l2,0.1,0.794471915811
2,0.3,True,False,l2,1.0,0.800539197102
2,0.3,True,False,l2,10.0,0.789417989418
2,0.3,False,False,None,0.001,0.768938892566
2,0.3,False,False,None,0.01,0.748520179372
2,0.3,False,False,None,0.1,0.725464923587
2,0.3,False,False,None,1.0,0.704474505723
2,0.3,False,False,None,10.0,0.699586128158
2,0.3,False,False,l2,0.001,0.748095567867
2,0.3,False,False,l2,0.01,0.761197850013
