no_below,no_above,idf,bool,norm,C,score
2,0.1,True,False,None,0.001,0.718896363791
2,0.1,True,False,None,0.01,0.708030765264
2,0.1,True,False,None,0.1,0.704359085024
2,0.1,True,False,None,1.0,0.703727700747
2,0.1,True,False,None,10.0,0.703758099352
2,0.1,True,False,l2,0.001,0.736434108527
2,0.1,True,False,l2,0.01,0.733954973118
2,0.1,True,False,l2,0.1,0.741156747695
2,0.1,True,False,l2,1.0,0.7379683597
2,0.1,True,False,l2,10.0,0.728352013284
2,0.1,False,False,None,0.001,0.677234242709
2,0.1,False,False,None,0.01,0.661413585228
2,0.1,False,False,None,0.1,0.6364473748
2,0.1,False,False,None,1.0,0.596260071961
2,0.1,False,False,None,10.0,0.584885331692
2,0.1,False,False,l2,0.001,0.732867249969
2,0.1,False,False,l2,0.01,0.732302753844
2,0.1,False,False,l2,0.1,0.740354272731
2,0.1,False,False,l2,1.0,0.738874754974
2,0.1,False,False,l2,10.0,0.72724248347
2,0.1,False,True,None,0.001,0.712303760497
2,0.1,False,True,None,0.01,0.71492849824
2,0.1,False,True,None,0.1,0.694509032373
2,0.1,False,True,None,1.0,0.668669131238
2,0.1,False,True,None,10.0,0.65927070168
2,0.3,True,False,None,0.001,0.785290925787
2,0.3,True,False,None,0.01,0.778276368211
2,0.3,True,False,None,0.1,0.776380535812
2,0.3,True,False,None,1.0,0.776436950763
2,0.3,True,False,None,10.0,0.77633404819
2,0.3,True,False,l2,0.001,0.77888370921
2,0.3,True,False,l2,0.01,0.784221962226
2,0.3,True,False,l2,0.1,0.797525636235
2,0.3,True,False,l2,1.0,0.8019473878
2,0.3,True,False,l2,10.0,0.791918861443
2,0.3,False,False,None,0.001,0.786401539448
2,0.3,False,False,None,0.01,0.7618550422
2,0.3,False,False,None,0.1,0.740329035127
2,0.3,False,False,None,1.0,0.721637266968
2,0.3,False,False,None,10.0,0.718535469108
2,0.3,False,False,l2,0.001,0.772504091653
2,0.3,False,False,l2,0.01,0.780386280386
2,0.3,False,False,l2,0.1,0.798098387764
2,0.3,False,False,l2,1.0,0.799704056887
2,0.3,False,False,l2,10.0,0.783847392543
2,0.3,False,True,None,0.001,0.800152426116
2,0.3,False,True,None,0.01,0.784315395095
2,0.3,False,True,None,0.1,0.767465841712
2,0.3,False,True,None,1.0,0.755038691907
2,0.3,False,True,None,10.0,0.751790500461
2,0.5,True,False,None,0.001,0.806560619797
2,0.5,True,False,None,0.01,0.800463652923
2,0.5,True,False,None,0.1,0.799170124481
2,0.5,True,False,None,1.0,0.799252957045
2,0.5,True,False,None,10.0,0.799219787517
2,0.5,True,False,l2,0.001,0.788879528222
2,0.5,True,False,l2,0.01,0.799917218543
2,0.5,True,False,l2,0.1,0.819033530572
2,0.5,True,False,l2,1.0,0.822188759106
2,0.5,True,False,l2,10.0,0.81043137575
2,0.5,False,False,None,0.001,0.80826674476
2,0.5,False,False,None,0.01,0.786159760786
2,0.5,False,False,None,0.1,0.766037242161
2,0.5,False,False,None,1.0,0.75265284376
2,0.5,False,False,None,10.0,0.749019258203
2,0.5,False,False,l2,0.001,0.773316603931
2,0.5,False,False,l2,0.01,0.788345064659
2,0.5,False,False,l2,0.1,0.809045019904
2,0.5,False,False,l2,1.0,0.811991576166
2,0.5,False,False,l2,10.0,0.800182406102
2,0.5,False,True,None,0.001,0.814948713637
2,0.5,False,True,None,0.01,0.800370932389
2,0.5,False,True,None,0.1,0.785960727521
2,0.5,False,True,None,1.0,0.776190270644
2,0.5,False,True,None,10.0,0.774651545321
